,address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,latitude,longitude,name,number,status
117,20 RUE MONGE - 75005 PARIS,2,35,True,37,False,Paris,2015/06/09 16:00:16,48.8483857647,2.35016993902,05018 - MUTUALITE,5018,OPEN
118,FACE AU 23 RUE DELIZY - 93500 PANTIN,10,12,True,22,False,Paris,2015/06/09 16:00:16,48.8963319317,2.40908765273,35006 - DELIZY (PANTIN),35006,OPEN
119,4 RUE D'ATHENES - 75009 PARIS,19,1,True,20,False,Paris,2015/06/09 16:00:16,48.8781137879,2.32956021946,09036 - ATHENES CLICHY,9036,OPEN
120,27 BOULEVARD BEAUMARCHAIS - 75004 PARIS,0,18,True,18,False,Paris,2015/06/09 16:00:16,48.8555013577,2.36842906993,04107 - BEAUMARCHAIS,4107,OPEN
121,1 RUE DES BATIGNOLLES - 75017 PARIS,16,1,True,17,True,Paris,2015/06/09 16:00:16,48.8831039046,2.32383474909,17050 - BATIGNOLLES,17050,OPEN
122,13 RUE ERASME - 75005 PARIS,12,7,True,20,True,Paris,2015/06/09 16:00:16,48.8425479497,2.34459664993,05013 - ULM ERASME,5013,OPEN
123,FACE 241 AVENUE GAMBETTA - 75020 PARIS,20,0,True,20,True,Paris,2015/06/09 16:00:16,48.8754124219,2.40596033115,20110 - PORTE DES LILAS,20110,OPEN
124,51 BOULEVARD PORT ROYAL - 75013 PARIS,15,3,True,18,False,Paris,2015/06/09 16:00:16,48.837727921,2.34466404343,13001 - PORT ROYAL,13001,OPEN
125,89 BOULEVARD DE L'HOPITAL - 75013 PARIS,32,18,True,50,False,Paris,2015/06/09 16:00:16,48.8377276875,2.36046033648,13103 - SAINT MARCEL,13103,OPEN
126,4 RUE DE THANN - 75017 PARIS,15,1,True,17,False,Paris,2015/06/09 16:00:16,48.8811619836,2.30951238051,17018 - MONCEAU,17018,OPEN
127,FACE AU 1 RUE JEANNE HORNET - 93170 BAGNOLET,0,0,True,28,True,Paris,2015/06/09 16:00:16,48.8739292,2.42793357978,31704 - HORNET (BAGNOLET),31704,CLOSED
128,1 RUE DES ARCHIVES - 75004 PARIS,0,25,True,25,False,Paris,2015/06/09 16:00:16,48.8572037877,2.35397627362,04103 - HOTEL DE VILLE,4103,OPEN
129,4 AVENUE PIERRE GRENIER - 92100 BOULOGNE-BILLANCOURT,8,13,True,21,False,Paris,2015/06/09 16:00:16,48.8258469347,2.24882139109,21013 - GRENIER (BOULOGNE-BILLANCOURT),21013,OPEN
130,93 RUE DE MONTREUIL - 75011 PARIS,28,5,True,33,False,Paris,2015/06/09 16:00:16,48.8505070118,2.39307555827,11012 - MONTREUIL VOLTAIRE,11012,OPEN
131,FACE 2 RUE DU LANDY - 93300 AUBERVILLIERS,21,9,True,30,False,Paris,2015/06/09 16:00:16,48.9151561828,2.37642400951,33012 - LANDY (AUBERVILLIERS),33012,OPEN
132,168 AVENUE JEAN JAURES - 93500 PANTIN,7,14,True,26,False,Paris,2015/06/09 16:00:16,48.9101370951,2.39932563331,35001 - JAURES 1 (PANTIN),35001,OPEN
133,5-7 AVENUE MARCEL MARTINIE - 92170 VANVES,24,0,True,24,False,Paris,2015/06/09 16:00:16,48.8210499235,2.29130063072,21703 - MARTINIE (VANVES),21703,OPEN
134,14 RUE BACHAUMONT - 75002 PARIS,1,21,True,22,False,Paris,2015/06/09 16:00:16,48.8660671501,2.3454636527,02101 - BACHAUMONT,2101,OPEN
135,2 RUE DE CHAZELLES - 75017 PARIS,25,9,True,35,False,Paris,2015/06/09 16:00:16,48.8794303755,2.30346740669,17025 - COURCELLES,17025,OPEN
136,FACE 28 BOULEVARD RASPAIL - 75007 PARIS,10,26,True,36,False,Paris,2015/06/09 16:00:16,48.8532616686,2.32631980638,07004 - RASPAIL VARENNE,7004,OPEN
137,55 RUE DES CENDRIERS - 75020 PARIS,10,2,True,12,False,Paris,2015/06/09 16:00:16,48.866295106,2.38935041243,20032 - AMANDIERS,20032,OPEN
138,24 RUE D'AUVERGNE - 75009 PARIS,17,0,True,17,False,Paris,2015/06/09 16:00:16,48.8791617778,2.34369843072,09008 - TOUR D'AUVERGNE,9008,OPEN
139,4 AVENUE VORGES - 94300 VINCENNES,21,4,True,25,False,Paris,2015/06/09 16:00:16,48.8482577527,2.43989289939,43007 - VORGES (VINCENNES),43007,OPEN
140,15 RUE VAN GOGH - 75012 PARIS,8,52,True,60,False,Paris,2015/06/09 16:00:16,48.8441924079,2.37169167798,12006 - GARE DE LYON VAN GOGH,12006,OPEN
141,FACE 44 RUE D'ESTIENNES D'ORVES / PISCINE - 92120 MONTROUGE,30,1,True,31,False,Paris,2015/06/09 16:00:16,48.8153882204,2.32088679076,21204 - D'ORVES (MONTROUGE),21204,OPEN
142,61 AVENUE RENE COTY - 75014 PARIS,49,4,True,53,False,Paris,2015/06/09 16:00:16,48.8247671026,2.3359996773,14016 - REILLE MONTSOURIS,14016,OPEN
143,38 RUE DE LA REPUBLIQUE - 93100 MONTREUIL,3,22,True,25,False,Paris,2015/06/09 16:00:16,48.8528141913,2.41930708875,31002 - REPUBLIQUE (MONTREUIL),31002,OPEN
144,88 RUE BALARD - 75015 PARIS,1,34,True,36,False,Paris,2015/06/09 16:00:16,48.8386338715,2.27827419306,15070 - BLANC,15070,OPEN
